"project","filename","geometry"
"FL_Everglades_NP_LiDAR_2017_D16","FL_Everglades_NP_LiDAR_2017_D16/TIFF/USGS_1M_17_x53y284_FL_Everglades_NP_LiDAR_2017_D16.tif","SRID=4326;POLYGON ((-80.70127006 25.58716455, -80.60169509 25.58692732, -80.60139541 25.67722831, -80.70104530 25.67746650, -80.70127006 25.58716455))"
"FL_Everglades_NP_LiDAR_2017_D16","FL_Everglades_NP_LiDAR_2017_D16/TIFF/USGS_1M_17_x53y285_FL_Everglades_NP_LiDAR_2017_D16.tif","SRID=4326;POLYGON ((-80.70104530 25.67746650, -80.60139541 25.67722831, -80.60109430 25.76752817, -80.70081946 25.76776732, -80.70104530 25.67746650))"
"FL_Everglades_NP_LiDAR_2017_D16","FL_Everglades_NP_LiDAR_2017_D16/TIFF/USGS_1M_17_x54y279_FL_Everglades_NP_LiDAR_2017_D16.tif","SRID=4326;POLYGON ((-80.60317207 25.13540568, -80.50396773 25.13510680, -80.50360204 25.22541212, -80.60287951 25.22571223, -80.60317207 25.13540568))"
"FL_Everglades_NP_LiDAR_2017_D16","FL_Everglades_NP_LiDAR_2017_D16/TIFF/USGS_1M_17_x54y280_FL_Everglades_NP_LiDAR_2017_D16.tif","SRID=4326;POLYGON ((-80.60287951 25.22571223, -80.50360204 25.22541212, -80.50323458 25.31571634, -80.60258554 25.31601767, -80.60287951 25.22571223))"
"FL_Everglades_NP_LiDAR_2017_D16","FL_Everglades_NP_LiDAR_2017_D16/TIFF/USGS_1M_17_x54y281_FL_Everglades_NP_LiDAR_2017_D16.tif","SRID=4326;POLYGON ((-80.60258554 25.31601767, -80.50323458 25.31571634, -80.50286535 25.40601945, -80.60229015 25.40632200, -80.60258554 25.31601767))"
"FL_Everglades_NP_LiDAR_2017_D16","FL_Everglades_NP_LiDAR_2017_D16/TIFF/USGS_1M_17_x54y282_FL_Everglades_NP_LiDAR_2017_D16.tif","SRID=4326;POLYGON ((-80.60229015 25.40632200, -80.50286535 25.40601945, -80.50249434 25.49632144, -80.60199333 25.49662522, -80.60229015 25.40632200))"
"FL_Everglades_NP_LiDAR_2017_D16","FL_Everglades_NP_LiDAR_2017_D16/TIFF/USGS_1M_17_x54y283_FL_Everglades_NP_LiDAR_2017_D16.tif","SRID=4326;POLYGON ((-80.60199333 25.49662522, -80.50249434 25.49632144, -80.50212155 25.58662232, -80.60169509 25.58692732, -80.60199333 25.49662522))"
"FL_Everglades_NP_LiDAR_2017_D16","FL_Everglades_NP_LiDAR_2017_D16/TIFF/USGS_1M_17_x54y284_FL_Everglades_NP_LiDAR_2017_D16.tif","SRID=4326;POLYGON ((-80.60169509 25.58692732, -80.50212155 25.58662232, -80.50174696 25.67692207, -80.60139541 25.67722831, -80.60169509 25.58692732))"
"FL_Everglades_NP_LiDAR_2017_D16","FL_Everglades_NP_LiDAR_2017_D16/TIFF/USGS_1M_17_x54y285_FL_Everglades_NP_LiDAR_2017_D16.tif","SRID=4326;POLYGON ((-80.60139541 25.67722831, -80.50174696 25.67692207, -80.50137058 25.76722071, -80.60109430 25.76752817, -80.60139541 25.67722831))"
"FL_Everglades_NP_LiDAR_2017_D16","FL_Everglades_NP_LiDAR_2017_D16/TIFF/USGS_1M_17_x55y280_FL_Everglades_NP_LiDAR_2017_D16.tif","SRID=4326;POLYGON ((-80.50360204 25.22541212, -80.40432634 25.22504534, -80.40388540 25.31534806, -80.50323458 25.31571634, -80.50360204 25.22541212))"
"FL_Everglades_NP_LiDAR_2017_D16","FL_Everglades_NP_LiDAR_2017_D16/TIFF/USGS_1M_17_x55y281_FL_Everglades_NP_LiDAR_2017_D16.tif","SRID=4326;POLYGON ((-80.50323458 25.31571634, -80.40388540 25.31534806, -80.40344234 25.40564967, -80.50286535 25.40601945, -80.50323458 25.31571634))"
